track_name,artist_name,playcount,listeners,url,image_url
¿Quien Tu Eres?,Bad Bunny,457531,64913,https://www.last.fm/music/Bad+Bunny/_/%C2%BFQuien+Tu+Eres%3F,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Tu No Metes Cabra,Bad Bunny,456268,64630,https://www.last.fm/music/Bad+Bunny/_/Tu+No+Metes+Cabra,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Tenemos Que Hablar,Bad Bunny,521784,63119,https://www.last.fm/music/Bad+Bunny/_/Tenemos+Que+Hablar,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
RLNDT,Bad Bunny,579258,63112,https://www.last.fm/music/Bad+Bunny/_/RLNDT,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
ACHO PR,Bad Bunny,422264,63034,https://www.last.fm/music/Bad+Bunny/_/ACHO+PR,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
¿Cual es tu plan?,Bad Bunny,533305,62376,https://www.last.fm/music/Bad+Bunny/_/%C2%BFCual+es+tu+plan%3F,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Me Mata,Bad Bunny,433923,61140,https://www.last.fm/music/Bad+Bunny/_/Me+Mata,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
BAD CON NICKY,Bad Bunny,474237,59459,https://www.last.fm/music/Bad+Bunny/_/BAD+CON+NICKY,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
BENDICIONES,Bad Bunny,386974,59232,https://www.last.fm/music/Bad+Bunny/_/BENDICIONES,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Dime Si Te Acuerdas,Bad Bunny,456987,58534,https://www.last.fm/music/Bad+Bunny/_/Dime+Si+Te+Acuerdas,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Ser Bichote,Bad Bunny,431407,58025,https://www.last.fm/music/Bad+Bunny/_/Ser+Bichote,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
MÁS DE UNA CITA,Bad Bunny,315936,51655,https://www.last.fm/music/Bad+Bunny/_/M%C3%81S+DE+UNA+CITA,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
De Museo,Bad Bunny,497151,50802,https://www.last.fm/music/Bad+Bunny/_/De+Museo,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Una Velita,Bad Bunny,237818,48873,https://www.last.fm/music/Bad+Bunny/_/Una+Velita,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
SI ELLA SALE,Bad Bunny,257900,47239,https://www.last.fm/music/Bad+Bunny/_/SI+ELLA+SALE,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
RONCA FREESTYLE,Bad Bunny,322509,46243,https://www.last.fm/music/Bad+Bunny/_/RONCA+FREESTYLE,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
EL CLúB,Bad Bunny,143668,35640,https://www.last.fm/music/Bad+Bunny/_/EL+CL%C3%BAB,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
100 MILLONES,Bad Bunny,289791,35275,https://www.last.fm/music/Bad+Bunny/_/100+MILLONES,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
EN CASITA,Bad Bunny,191612,35252,https://www.last.fm/music/Bad+Bunny/_/EN+CASITA,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Caile,Bad Bunny,179531,35191,https://www.last.fm/music/Bad+Bunny/_/Caile,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Estamos Arriba,Bad Bunny,212611,32451,https://www.last.fm/music/Bad+Bunny/_/Estamos+Arriba,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Titi Me Preguntó,Bad Bunny,70374,31578,https://www.last.fm/music/Bad+Bunny/_/Titi+Me+Pregunt%C3%B3,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Soy Peor - Remix,Bad Bunny,202379,31514,https://www.last.fm/music/Bad+Bunny/_/Soy+Peor+-+Remix,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Yo Perreo Sola - Remix,Bad Bunny,113435,29581,https://www.last.fm/music/Bad+Bunny/_/Yo+Perreo+Sola+-+Remix,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Tu No Metes Cabra - Remix,Bad Bunny,177093,29478,https://www.last.fm/music/Bad+Bunny/_/Tu+No+Metes+Cabra+-+Remix,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Blockia,Bad Bunny,64319,13802,https://www.last.fm/music/Bad+Bunny/_/Blockia,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Vamos Pa' la Calle,Bad Bunny,42566,10096,https://www.last.fm/music/Bad+Bunny/_/Vamos+Pa%27+la+Calle,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Me Llueven 3.0,Bad Bunny,33381,9367,https://www.last.fm/music/Bad+Bunny/_/Me+Llueven+3.0,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Panamera - Remix,Bad Bunny,35361,8669,https://www.last.fm/music/Bad+Bunny/_/Panamera+-+Remix,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
CÓMO SE SIENTE - Remix,Bad Bunny,28107,7996,https://www.last.fm/music/Bad+Bunny/_/C%C3%93MO+SE+SIENTE+-+Remix,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Desde el Corazón,Bad Bunny,69398,7726,https://www.last.fm/music/Bad+Bunny/_/Desde+el+Coraz%C3%B3n,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
"Soy Peor Remix (Feat. J Balvin, Ozuna & Arcangel)",Bad Bunny,33056,6320,"https://www.last.fm/music/Bad+Bunny/_/Soy+Peor+Remix+(Feat.+J+Balvin,+Ozuna+&+Arcangel)",https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Me Llueven 2,Bad Bunny,17330,5946,https://www.last.fm/music/Bad+Bunny/_/Me+Llueven+2,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Mía (feat. Drake),Bad Bunny,38400,5483,https://www.last.fm/music/Bad+Bunny/_/M%C3%ADa+(feat.+Drake),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Solo de Mí,Bad Bunny,60745,5400,https://www.last.fm/music/Bad+Bunny/_/Solo+de+M%C3%AD,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
La Romana (feat. El Alfa),Bad Bunny,48461,5167,https://www.last.fm/music/Bad+Bunny/_/La+Romana+(feat.+El+Alfa),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Me Llueven (Extended Version),Bad Bunny,11342,4299,https://www.last.fm/music/Bad+Bunny/_/Me+Llueven+(Extended+Version),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
200 MPH (feat. Diplo),Bad Bunny,26444,3718,https://www.last.fm/music/Bad+Bunny/_/200+MPH+(feat.+Diplo),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
¿Quién Tú Eres?,Bad Bunny,29303,3510,https://www.last.fm/music/Bad+Bunny/_/%C2%BFQui%C3%A9n+T%C3%BA+Eres%3F,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
"Tu No Metes Cabra Remix (feat. Daddy Yankee, Anuel AA & Cosculluela)",Bad Bunny,11111,2760,"https://www.last.fm/music/Bad+Bunny/_/Tu+No+Metes+Cabra+Remix+(feat.+Daddy+Yankee,+Anuel+AA+&+Cosculluela)",https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
EUROPA :(,Bad Bunny,15868,2339,https://www.last.fm/music/Bad+Bunny/_/EUROPA+:(,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Dime Si Vas a Volver,Bad Bunny,8404,1642,https://www.last.fm/music/Bad+Bunny/_/Dime+Si+Vas+a+Volver,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Yonaguni (Video Oficial),Bad Bunny,8264,1483,https://www.last.fm/music/Bad+Bunny/_/Yonaguni+(Video+Oficial),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Me Rolie,Bad Bunny,6507,1460,https://www.last.fm/music/Bad+Bunny/_/Me+Rolie,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
